"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",272.779428802755,11.9084413974213,349.383072502043,22.9063921716761,1.47463163451113e-71
"trial2",31.6929591820502,13.3256784393108,374.227369797826,2.37833738269984,0.0178921436182596
"trial3",8.30707907290736,13.2380187731546,435.650247741976,0.62751679199559,0.530649291733178
"trial4",-4.37660256335128,12.6544503930198,370.617768994822,-0.345854812135137,0.729648066929693
"line2",22.4071535881261,15.987837910765,399.742960898544,1.40151243171154,0.161836816514468
"line3",59.4197764190828,17.3815438802984,365.112494675018,3.41855572947313,0.000700587068010128
"line4",49.9495079105267,19.2677677900778,420.801800695109,2.59238685325287,0.00986306826931297
"line5",18.3401596564044,13.6067301081316,370.95756181095,1.34787414100644,0.178521397266378
"line6",6.01504705651562,30.9400822392217,487.659021150843,0.194409536794655,0.845936183230745
"line7",23.8777124327973,15.6868265965309,413.17714786128,1.52215059469567,0.128736287030611
"line8",7.32135689743056,14.2845744353912,385.574698446227,0.512535877813155,0.608569494096206
"line9",44.0329398940608,15.3009646755945,376.291711109446,2.87778848115993,0.0042331652315296
"line10",12.7693721352457,19.0009813695979,390.471545196572,0.672037506214133,0.501957253709758
"line11",11.038832213727,14.367225041405,382.880105464336,0.768334329135522,0.442762210365403
"line12",10.7829758431585,26.5152749264843,521.080140897847,0.406670339004787,0.684417104301628
"line13",36.0737417951308,14.603211065245,355.499203393365,2.47026093329464,0.0139701091532807
"line14",24.9896787207549,13.6901695340423,385.150931400375,1.82537394139751,0.0687189037685724
"line15",52.6269027924445,13.971341075821,361.827505495961,3.76677532291595,0.000192971835144583
"line16",28.3832740269727,14.3482722805162,349.562484846462,1.97816667206092,0.048694727393651
"line17",39.3253734763734,14.1024035476199,367.920922260946,2.78855823006217,0.00556943098794745
"line18",26.5199241426255,15.347539011209,444.10161084628,1.7279593896622,0.0846906539005452
"line19",26.3697562784301,14.9169579269384,355.349358722672,1.76777037299336,0.0779574073724875
"line20",25.0072524645649,13.0246029647622,382.242205563268,1.92000113417826,0.0556016771935785
"line21",18.6354815187395,13.3776276222849,380.733362584425,1.39303335725207,0.164422510575795
"sex2",1.03136307060809,6.61961264397228,60198.9114986744,0.155804142338636,0.876187927803664
"density",0.130450829592818,0.0513753724953173,345.450478371113,2.53917048688471,0.011549578134336
"trial2:line2",-12.118659989786,19.1217110905904,436.946877748482,-0.633764412210446,0.526566190619648
"trial3:line2",-26.3953522904582,18.7847178460024,540.39046606409,-1.40515031989557,0.160551180462448
"trial2:line4",-5.44179782605807,39.391341020515,781.34138764763,-0.138147056816979,0.890159790288801
"trial3:line4",-53.3223793633246,23.3966201080717,747.403154672559,-2.2790633483393,0.0229444635328296
"trial4:line4",-47.4598059693246,25.3271006614136,549.491515496279,-1.87387441633344,0.0614781881160265
"trial2:line5",-24.6139531667443,16.1873741028297,417.088315639438,-1.52056491747118,0.129126755887318
"trial4:line5",-27.6589761457579,19.3466931116032,537.662105860597,-1.4296487769876,0.153398635711011
"trial2:line6",-2.6667343898361,32.2728260675908,515.444755971482,-0.0826309534916779,0.934177066097973
"trial4:line6",-17.5259522138931,31.7004198651547,493.941480702543,-0.552861832380893,0.580608136501635
"trial2:line7",-10.939924238597,18.0940746069955,468.820414244595,-0.604613636022448,0.545728241993958
"trial3:line7",-23.2289541505174,17.288829102133,485.007772130947,-1.343581685798,0.179711949449973
"trial2:line8",7.64026672786284,17.3807669010346,424.413511826906,0.439581680794997,0.660463851814473
"trial3:line8",3.52152289319873,16.9274613366907,472.189724417246,0.208036091363903,0.835290485596601
"trial4:line8",9.98064757920973,17.3010349228403,521.851473299966,0.576881534759148,0.564268244053446
"trial2:line9",-28.3081139060557,18.7893244286231,394.421141219362,-1.50660626536055,0.132712069508112
"trial3:line9",-33.8524633475351,17.7514077847739,458.455050473522,-1.90702978366435,0.0571414716681398
"trial4:line9",-27.7162789803727,17.2564729965101,423.563125660272,-1.60613811327366,0.10898879123297
"trial2:line10",-16.3271786197311,20.5485951898696,402.860668440172,-0.794564225382199,0.427334855243704
"trial3:line10",7.15727874353853,24.236705901265,450.785823068922,0.295307405746297,0.767895025736377
"trial4:line10",-20.7827798645718,20.4740835523728,429.546115389565,-1.01507741781992,0.310640334334303
"trial2:line11",-15.4596074305972,17.3686418057561,423.892002280141,-0.890087296605645,0.373923891198867
"trial4:line11",-13.5057863042361,16.0157959956255,429.048309896762,-0.843279116937118,0.39954223770552
"trial2:line12",48.4689054337267,30.3455744527734,590.108784911037,1.59723143515238,0.110749443840406
"trial3:line12",-3.07638075214658,28.663154690809,623.973867401077,-0.107328756563318,0.914562671516628
"trial4:line12",-2.56134001269935,27.2491712502172,531.936318941425,-0.0939969876213733,0.925146943960757
"trial2:line13",-33.2389668394941,16.5541946129459,382.103047526743,-2.00788788682598,0.0453586812254424
"trial3:line13",-16.3476264780667,17.5525571105561,575.250537160648,-0.931352986069204,0.352061700454753
"trial4:line13",-25.980411768673,18.7135322848283,469.390628014806,-1.38832217099581,0.16569746962441
"trial2:line14",-15.9597594823063,16.1037827016711,447.39471449741,-0.991056559689559,0.322193650888887
"trial3:line14",-23.7257819246368,16.1367493516297,491.240676441768,-1.47029500227322,0.14212206436344
"trial4:line14",-3.90136378132613,15.4908749330466,408.623887989676,-0.251849156241226,0.801284277413213
"trial2:line15",-50.0527738546239,16.6775093614665,424.181756107895,-3.0012139564599,0.0028477991166105
"trial3:line15",-57.7942676092192,15.9640809905889,443.240269283338,-3.62026900535582,0.000328268979838657
"trial4:line15",-71.9347480217046,20.5410854955479,418.567817110853,-3.50199350649195,0.000511482384550559
"trial2:line16",-22.7412747150439,18.0151180926135,386.22665249889,-1.262343915712,0.207586748389472
"trial3:line16",-24.6556942185401,17.7237678414998,465.98836134521,-1.39110907110898,0.164856180951748
"trial4:line16",-24.5347291718891,16.4674819130706,410.871532718642,-1.48988954725467,0.137020499930052
"trial2:line17",-23.4315481156556,17.6578606496276,486.321411817298,-1.32697548024594,0.185139476540899
"trial3:line17",-26.0621636548466,17.891469048557,500.836188465862,-1.45668103519697,0.145831076505587
"trial4:line17",-39.3237899736353,15.8715453638412,440.230722241107,-2.47762830097335,0.01360010574001
"trial2:line18",-6.81048339760101,18.0754975470594,491.015966143788,-0.376779857919261,0.706499980039056
"trial3:line18",-25.3903957548118,17.8582325171236,589.247462603776,-1.42177540417093,0.155620521542281
"trial4:line18",-29.2304756199947,18.7486078603076,585.823447518949,-1.55907445703625,0.11951879192309
"trial2:line19",-8.61418799336108,17.1974217996269,377.813406942546,-0.500899965920938,0.616733212629581
"trial3:line19",-9.04135575928115,17.3381497897083,463.948176525627,-0.521471775762831,0.602286995321488
"trial4:line19",-16.0585223099037,16.7350596441716,397.530492189049,-0.95957365263986,0.337853085224212
"trial2:line20",-28.2449794524027,15.278269002498,429.138074491236,-1.84870285028917,0.0651883867334614
"trial3:line20",-25.8105997624021,15.5776741203563,493.459207112174,-1.65689688736484,0.098175951022256
"trial4:line20",-15.7883164876129,15.0162743865843,425.544630995443,-1.051413691649,0.293665314445003
"trial2:line21",-17.0556876019759,16.4101175221455,443.582263629603,-1.03933975969149,0.299212930194217
"trial3:line21",-19.341097464308,19.2872696658335,1078.69294364376,-1.00279084595213,0.316186677862221
"trial4:line21",-17.4951917497114,16.3813277641565,509.89652098956,-1.06799595256205,0.286027700266019
"trial2:sex2",-11.9478792816748,7.99110976936311,60252.1285974419,-1.4951464347895,0.134881466713211
"trial3:sex2",-3.4529582048859,8.70256467309011,60316.5488951195,-0.396774782445808,0.691534952030956
"trial4:sex2",-5.85911863223506,7.60407419324537,60201.7568533926,-0.77052360133988,0.440992384203547
"line2:sex2",5.86128904734657,10.05100871725,60226.5419003339,0.583154309406497,0.559791609713916
"line3:sex2",-27.9442333900162,10.1008399930678,60181.8003147667,-2.76652569580296,0.00566744022127488
"line4:sex2",-9.90707457496277,14.9039090923923,60206.4197033822,-0.66472993853806,0.506225787340884
"line5:sex2",-12.3262563159603,8.24059271481238,60217.4888796252,-1.49579729790601,0.134711726303856
"line6:sex2",42.6206788438596,26.7775192205461,60238.2106852669,1.5916589768016,0.111466597884099
"line7:sex2",-7.6804449778194,10.0832911600342,60192.2097929518,-0.761700208386459,0.446241935260922
"line8:sex2",-1.62720948818604,8.90138633205452,60235.7550847874,-0.182804051805542,0.854952384524417
"line9:sex2",-23.3208492092855,9.25412045119315,60205.2403297414,-2.52005032053357,0.0117363701618833
"line10:sex2",-4.60211865321405,11.8304098931883,60199.3046312954,-0.389007540293583,0.697271944401951
"line11:sex2",-6.10165314227518,9.00636109646031,60183.7983162077,-0.677482623328667,0.498102395727664
"line12:sex2",15.7194651792226,20.3830785882652,60283.1577831081,0.771201715734563,0.440590400092318
"line13:sex2",-7.76895091439347,8.34309333320952,60189.744824896,-0.931183507616931,0.351762382366599
"line14:sex2",7.15811313453863,8.64627350068433,60293.2871041905,0.827884190104799,0.407739366121613
"line15:sex2",-17.8314776723144,8.03503791068051,60240.5607933464,-2.219215126367,0.0264758031138698
"line16:sex2",6.82293561720233,7.92373258034983,60191.8239626699,0.861075957323778,0.389199639962821
"line17:sex2",-21.9440927866634,8.28488706103554,60199.6394879281,-2.64868942992213,0.00808256300096266
"line18:sex2",-7.69318357318104,10.7060998098315,60223.6143008824,-0.718579474302707,0.47240285174773
"line19:sex2",2.42588520004819,8.3514624855384,60229.5399063721,0.290474297675276,0.771454411106565
"line20:sex2",0.473802381065498,7.95724834822149,60317.2762879195,0.0595434954812484,0.952519419787401
"line21:sex2",1.16433095313384,8.25457719753068,60334.6767044407,0.141052766879707,0.887828727960424
"trial2:density",-0.11614513046543,0.0623058198364569,375.449502788348,-1.86411366980312,0.0630860036263467
"trial3:density",-0.118042993070992,0.069902667560393,529.504830061401,-1.68867651537058,0.0918701954588427
"trial4:density",-0.09461093051623,0.0696087217099126,390.351351962588,-1.35918212821824,0.174873601273496
"line2:density",-0.0831547430017633,0.0885841531229074,415.026123496301,-0.938709013635758,0.348426135676794
"line3:density",-0.142779571761703,0.0760443120556966,360.711162707293,-1.87758384423451,0.0612448242237758
"line4:density",-0.1459126651123,0.153525318473092,447.369179063039,-0.950414345747629,0.34241491499029
"line5:density",-0.0973538327524734,0.0637594517677383,370.911636007163,-1.52689256342906,0.12763998865973
"line6:density",0.279575065824982,0.342111633521867,508.215178202653,0.817204205968961,0.414194664559576
"line7:density",-0.0666984759751061,0.0876279671285185,440.720725342647,-0.761155121598149,0.446971486100324
"line8:density",-0.0396966187975759,0.0751463706643163,400.358675120717,-0.528257299010531,0.597613447363579
"line9:density",-0.156359294506523,0.0732420534225571,375.83970670141,-2.13482947568982,0.0334212509172613
"line10:density",-0.0592348706707538,0.101247582910247,396.213445879392,-0.585049726305703,0.558847306829908
"line11:density",-0.0452724977047333,0.0682750898176594,383.40826150478,-0.663089537130474,0.507671662616094
"line12:density",0.336142445418163,0.248605174582262,549.558832980123,1.35211363151629,0.176895126810749
"line13:density",-0.0639512572721795,0.0623471842367821,348.825169392424,-1.02572807505316,0.305730541397605
"line14:density",-0.103571541498315,0.065587123447807,394.965709182297,-1.57914444259376,0.115103434489303
"line15:density",-0.17891318593723,0.060026424097911,353.208731759126,-2.9805737827294,0.00307647288958633
"line16:density",-0.120636013517928,0.0561508075589373,344.474663436279,-2.14842882520088,0.0323764345734805
"line17:density",-0.161587362188527,0.0657679552073918,366.012047546815,-2.45693152050994,0.014476291253323
"line18:density",0.0191246368941559,0.128673405141129,564.95311032544,0.148629290358641,0.881899194859451
"line19:density",-0.0532148623495782,0.0648701475199487,348.595109692286,-0.82032898619837,0.412589159554901
"line20:density",-0.0910785563159717,0.0661345739965126,409.9238171352,-1.37717007628679,0.169211206405275
"line21:density",-0.0599500499688142,0.0603908483406599,380.1298113547,-0.992700907770673,0.321487203319598
"sex2:density",-0.0352062826301545,0.0279548466125037,60190.366391618,-1.25939816870279,0.207891434222929
"trial2:line2:sex2",2.3629439704503,13.0258656183506,60242.7685053825,0.181403988009936,0.856051099122686
"trial3:line2:sex2",-3.67776353740217,14.1331461732056,60323.1400618574,-0.260222564199802,0.794692988104753
"trial2:line4:sex2",24.6462296430845,41.2762031762164,60248.4421216126,0.597105056825717,0.550439485795674
"trial3:line4:sex2",68.320954586494,26.3922288287068,54796.1932886488,2.58867695600537,0.00963708777094516
"trial4:line4:sex2",14.4317898666818,21.3831628378111,60194.7501755245,0.67491371487676,0.499733178657456
"trial2:line5:sex2",15.4671785985333,10.9796396810175,60318.3799982078,1.40871458881062,0.158924733951386
"trial4:line5:sex2",12.6203774617821,15.8726182577153,60284.9799144804,0.795103697252196,0.426556314450448
"trial2:line6:sex2",-26.5464000617898,28.4422760446999,60263.2247329667,-0.933343028528006,0.350646624947742
"trial4:line6:sex2",-35.5325269624851,27.4046404162473,60244.957575729,-1.29658796549722,0.194777961619453
"trial2:line7:sex2",14.5098869591933,12.9876444655464,60388.7658395905,1.11720697295688,0.263910284628326
"trial3:line7:sex2",9.48398698590863,12.3028901943623,60318.1039553016,0.77087471610976,0.440784214504001
"trial2:line8:sex2",13.5963944209033,11.8390680639562,60271.3893322152,1.1484345176034,0.250793788811574
"trial3:line8:sex2",3.85386170131633,12.0902525059492,60294.4479226501,0.318757751289311,0.749911322016222
