"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",302.693206459527,1.93410366972526,420.980557085277,156.503092981839,0
"trial2",3.91329775424257,2.79795191522481,459.928210804158,1.39862938063685,0.162598085456605
"trial3",-20.588552838019,3.26319186363814,600.226269841159,-6.30932954554037,5.44380750694724e-10
"trial4",-31.5220474472109,2.94357198845625,561.193389092416,-10.7087740917601,1.77871836314649e-24
"line2",-0.455916811954332,2.80516322981797,465.328332984312,-0.162527729975955,0.870960846287866
"line3",26.6088540169257,2.74311958136577,425.81515464124,9.70021657009843,3.11388825640426e-20
"line4",18.3868344718161,3.46631617337582,482.123701454358,5.30443085747406,1.72566962972444e-07
"line5",-6.24908413955171,2.77168705596042,443.081108995998,-2.25461389160557,0.024645122506639
"line6",10.6594970598771,3.53355111138049,520.806473380939,3.01665285823831,0.00268072067058432
"line7",2.88110330558097,2.814017496877,471.129619666514,1.0238398690763,0.306436322727503
"line8",-10.1902713616691,2.7989719140093,460.910955571828,-3.64071940510199,0.000302687615463408
"line9",9.25996752490706,2.76417079790736,438.859918365682,3.34999831845319,0.000877921374353661
"line10",-5.16955433057032,2.77774783557787,447.713507169776,-1.86105961972422,0.0633910018401732
"line11",-4.30486395249888,2.99689702683453,445.039392696644,-1.43644039616733,0.151579638220727
"line12",26.0039741335022,3.58228305638227,549.23801956558,7.25905064569731,1.338778964061e-12
"line13",21.4535287743937,2.72970480719929,417.433388278129,7.85928526696822,3.31803001950096e-14
"line14",-0.535963111567561,2.78627603271723,451.838230611041,-0.192358224839941,0.84754803592059
"line15",11.2718952150615,2.74417035532859,426.219141735694,4.10757852302206,4.79502181738626e-05
"line16",2.10057044053601,2.7056050793217,402.949727784556,0.776377327419354,0.437981699154547
"line17",3.63487983084341,2.76681545912082,440.414386302311,1.3137413335107,0.189617186816397
"line18",8.5752037981053,2.92370016089906,548.051868665699,2.93299699907269,0.00349746490211431
"line19",13.6226636617164,2.74511893482566,426.955301967305,4.96250398803997,1.0070939591548e-06
"line20",-0.430221041237234,2.87327765787711,510.179154185343,-0.149731801957176,0.881035389721124
"line21",1.6835900430594,2.78584422837154,451.644601179097,0.604337466507788,0.545922756641811
"sex2",-7.18306698805717,1.03986367685558,60273.4578443942,-6.90770064185518,4.97438362485792e-12
"trial2:line2",8.44021534937187,4.03681506936914,498.252975763142,2.09081050390819,0.0370511122775399
"trial3:line2",9.42723718451048,4.43803760916179,595.765205870033,2.1241904676628,0.0340654669481768
"trial2:line4",3.104650842128,5.70081520838391,712.562278352837,0.544597698511985,0.586200623700126
"trial3:line4",-20.059635783,7.4500141933582,1524.75887606813,-2.69256343174265,0.0071681390798076
"trial4:line4",4.38393406622411,4.90255581253749,608.50290652536,0.894214004665263,0.371560941744386
"trial2:line5",4.36594958850789,4.23477189096022,512.611763448242,1.03097633141178,0.30303809842024
"trial4:line5",2.0820434759088,4.82284177970248,645.623089780609,0.431704702541007,0.666100174312079
"trial2:line6",-3.39929511288377,5.2530243933057,735.365072253923,-0.647111998416708,0.517761402326482
"trial4:line6",-16.2799215900964,4.68457064243771,576.074324278037,-3.47522170817875,0.000548837114067209
"trial2:line7",9.05764323532499,4.19681884442915,536.231018875523,2.15821639462663,0.0313541804056847
"trial3:line7",0.672033654585029,4.42879070258373,597.5636597772,0.151742021629735,0.879441627288814
"trial2:line8",15.4936185693624,4.05186692228799,505.270852100219,3.8238221705005,0.000147815910743586
"trial3:line8",17.3715246378467,4.43547171898919,604.367174457864,3.91649992118662,0.000100087703248103
"trial4:line8",19.6879490509568,5.04406184158226,755.253323753823,3.90319343205771,0.000103414101777476
"trial2:line9",4.91364484979848,3.96255770980204,462.877012319495,1.24001849553983,0.215596794288939
"trial3:line9",7.555130559313,4.37449236137537,571.867740901957,1.72708738184597,0.0846919440417126
"trial4:line9",8.76483421152223,4.17322271756922,566.480071264562,2.10025555900057,0.0361478993443765
"trial2:line10",5.46810900450947,3.96831709521423,465.070377082676,1.37794154885051,0.168883956851225
"trial3:line10",16.1404680659158,4.36087981068158,566.007601965959,3.7011953474116,0.000235560435873447
"trial4:line10",8.93000847053171,4.27925351122438,623.852059284214,2.08681454536603,0.0373102978138738
"trial2:line11",0.751857686294594,4.14411651879699,471.192152861344,0.181427738067764,0.856109864520902
"trial4:line11",9.96014954488567,4.35806830835104,574.132914708799,2.28545053454068,0.0226500722427948
"trial2:line12",-0.991415913351611,5.76019336892564,740.748596280925,-0.172115040217222,0.863394099763415
"trial3:line12",-23.8700383440498,5.37440018356294,798.089436140961,-4.44143300252443,1.01962116836746e-05
"trial4:line12",-3.53344703340518,4.74387248980528,597.665898623848,-0.74484443690227,0.456658549276628
"trial2:line13",-7.66204238353163,3.96319751955179,462.379618189019,-1.9332981376104,0.0538096189669544
"trial3:line13",-3.73931482406219,4.87826436027012,802.62471965677,-0.766525663208448,0.443588974108594
"trial4:line13",-4.3231805141643,5.1359693462157,645.919855928818,-0.841745778204405,0.400241799936522
"trial2:line14",6.94056022958696,4.13013405833578,539.958753367003,1.6804685105993,0.0934445566381686
"trial3:line14",14.8849096693789,4.38365583683416,574.642215918233,3.39554705556645,0.000732197168275219
"trial4:line14",14.3830179638944,4.20234153248905,543.670274152514,3.422619949544,0.000666909950249555
"trial2:line15",-8.29008147876358,4.08278401835544,520.276234491537,-2.03049719051826,0.0428141174544738
"trial3:line15",-1.52060802310771,4.33524154347999,550.947977245856,-0.350755086621331,0.725906167284931
"trial4:line15",-14.3253225949351,4.1410101222786,513.648482616299,-3.45937879211281,0.000586441077179864
"trial2:line16",-16.8632304079956,3.90599022103796,436.990317358688,-4.31727409791477,1.95615679953317e-05
"trial3:line16",3.2974437117261,4.39711232721014,583.901871744422,0.749911184056161,0.453610240526677
"trial4:line16",-0.669494032288298,4.43294304987639,613.582932306968,-0.151026986982602,0.880004065379164
"trial2:line17",8.37119120222088,4.13873272134124,546.811422859329,2.02264600442911,0.0435958650800577
"trial3:line17",3.73357902642942,4.42410968175873,598.66968319317,0.84391647020496,0.399053165326988
"trial4:line17",-0.924093291364442,4.7984732278292,734.079203368925,-0.192580691292613,0.847340632205977
"trial2:line18",0.742520195530719,4.26513161265434,618.587785035776,0.17409080491859,0.86185105690189
"trial3:line18",1.27735979899426,4.68677126108742,746.377112333419,0.272545794927037,0.785277766968389
"trial4:line18",-6.8065908961105,4.38930556694198,690.775455578385,-1.550721587345,0.121426426010159
"trial2:line19",1.93025301937345,3.97151005939699,466.930338374269,0.486024960406756,0.627177474515135
"trial3:line19",-2.70881119934888,4.7671130587853,619.005212546184,-0.568228855901965,0.570085643765716
"trial4:line19",2.64122120076389,4.22507424691741,555.391227046777,0.625130127048277,0.532142410070291
"trial2:line20",-6.09967515796935,4.16204515653934,559.141216166502,-1.4655475682155,0.143333675132986
"trial3:line20",0.935212915063551,4.47482368899186,623.709476515979,0.208994360462556,0.834520878809661
"trial4:line20",15.8328561690979,4.23537742834924,559.408177804679,3.73823972879528,0.000204373788763015
"trial2:line21",-5.80400870998925,4.05146962337214,504.018579036621,-1.43256873419636,0.152601034749318
