"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",302.688746017671,2.09827644900373,485.612753972269,144.255894480152,0
"trial2",3.90255319221211,3.02438981352888,523.200565588237,1.29036051330254,0.19749548158515
"trial3",-20.5994318912746,3.49048724660249,666.121296578639,-5.9015920803966,5.73239014858077e-09
"trial4",-31.5341191562525,3.15731014069039,619.697457067818,-9.98765333498632,7.00929915864655e-22
"trial5",-69.0280836873982,3.20862441585383,647.649544228909,-21.5132950264699,7.17861674903141e-78
"trial6",-56.2615715146128,3.01030303498533,513.169578598821,-18.6896703955544,7.6855190069957e-60
"line2",-0.453878605523306,3.03078810792094,528.152329315537,-0.14975596754425,0.881014319573941
"line3",26.6097234331596,2.97454367439042,490.267692149442,8.94581702136641,7.59613466863197e-18
"line4",18.3967125819669,3.73982877596741,544.147422318695,4.91913231434187,1.15329789779511e-06
"line5",-6.25908179145764,3.00055656858118,507.040845853378,-2.08597360136332,0.0374802775684646
"line6",10.6619878443845,3.80094193405834,580.735762980241,2.80509095623055,0.00519870421624787
"line7",2.88051588118833,3.03884250269207,533.707600202217,0.947899036766965,0.343609844930175
"line8",-10.2121849228299,3.02524536502497,524.041908635763,-3.37565509260623,0.000791016983690073
"line9",9.26153556322365,2.99362087558668,502.827752979536,3.09375700802748,0.00208635382986913
"line10",-5.16753933998285,3.0058724595875,511.241799015803,-1.71914790446298,0.0861927551937386
"line11",-4.32538996054604,3.24378095456445,508.891321907718,-1.33344082758104,0.182983735405338
"line12",25.9778484692814,3.84557343308438,607.806056252044,6.75526002072613,3.34181077666979e-11
"line13",21.4450841817282,2.96245348615114,482.255405682142,7.23896063920652,1.79589016497203e-12
"line14",-0.53545166294598,3.0139184370755,515.586381954632,-0.177659639477685,0.859060059199794
"line15",11.2901957956148,2.97555279410374,490.739301146025,3.79431876254627,0.000166542418079824
"line16",2.10428744258873,2.94069189710544,468.290708261436,0.715575625130947,0.474610058127326
"line17",3.63926208241169,2.99604402639662,504.354084716741,1.21468912016913,0.225053067075511
