trial,line,p.value,lowerCI,higherCI,male.estimate,female.estimate
1,1,1.22E-07,-9.236646429,-4.254878508,303.0296053,296.2838428
2,1,1.58E-22,-10.48063228,-7.033149689,307.2879046,298.5310136
3,1,0.877023734,-2.694759593,2.301077604,282.6244726,282.4276316
4,1,9.53E-06,-7.259047454,-2.825133055,271.8143322,266.772242
5,1,4.12E-05,-9.125158699,-3.2473671,234.2173913,228.0311284
6,1,1.08E-21,-8.768949043,-5.828580002,247.8255639,240.5267994
1,2,0.018574581,-7.262821055,-0.664689142,302.3782288,298.4144737
2,2,0.059523129,-4.195022126,0.082725475,314.6477273,312.5915789
3,2,1.84E-05,-8.572695802,-3.212031049,292.1253731,286.2330097
5,2,2.85E-06,-6.969363097,-2.861666803,253.4083721,248.4928571
6,2,5.30E-09,-8.654626982,-4.324460124,259.1391162,252.6495726
1,3,2.86E-26,-14.43633868,-9.9923631,329.5394582,317.3251073
1,4,0.946184728,-4.958872724,5.311520077,320.9285714,321.1048951
2,4,0.917261057,-7.292896873,8.100574983,327.968254,328.372093
3,4,0.102607077,-2.714601855,26.14537109,278.9,290.6153846
4,4,0.172337665,-5.208813827,0.936086554,294.3863636,292.25
1,5,1.51E-07,-8.764878481,-4.018264767,297.213467,290.8218954
2,5,1.06E-08,-10.54611449,-5.220081218,305.4871795,297.6040816
4,5,3.12E-05,-9.323569041,-3.418178532,267.4,261.0291262
1,6,0.603845875,-7.26477436,4.233280705,313.4028436,311.8870968
2,6,0.120214634,-10.34917811,1.207224091,314.045977,309.475
4,6,0.019905459,-4.392583975,-0.378173739,266.6870416,264.3016627
1,7,0.001081675,-7.963998412,-1.998881847,305.7631068,300.7816667
2,7,5.57E-09,-9.396496845,-4.714576459,318.8021583,311.7466216
3,7,0.003731119,-4.672536579,-0.907732601,286.2633053,283.4731707
1,8,0.000167715,2.161563754,6.835793851,293.4230769,297.9217557
2,8,0.288861337,-1.187089806,3.981734411,311.1116751,312.5089974
3,8,0.452130273,-1.866008266,4.183369696,289.0305085,290.1891892
4,8,0.017877702,-12.78644261,-1.233466897,281.3176471,274.3076923
1,9,1.35E-28,-13.8930764,-9.795094339,312.0334262,300.1893408
2,9,8.29E-25,-9.915380395,-6.791365951,320.7801858,312.4268126
3,9,0.003473248,-5.446055088,-1.077927894,299.5174263,296.2554348
