"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",272.777707201598,12.7576007403616,406.230304331093,21.3815836341862,1.68343282649984e-68
"trial2",31.6969076862003,14.2405530072166,430.938556049902,2.22581999941557,0.0265428149151619
"trial3",8.39535518967205,14.072050458182,493.461456771701,0.596597860036146,0.551049494383045
"trial4",-4.37089643642778,13.5279224767793,427.342339954957,-0.323101824683754,0.746776166107011
"trial5",-37.1721160046379,14.0558632325066,475.566686414438,-2.64459858421722,0.00844926665801588
"trial6",-41.4622962440514,14.432504786848,442.92788743377,-2.87284132979018,0.00426345918360076
"line2",22.4332875289432,17.0460981172524,456.089649693074,1.31603651314423,0.188822837493056
"line3",59.4266720100507,18.5913008416994,421.835506542787,3.19647734798414,0.00149582308584822
"line4",49.9870874087784,20.5072360235503,476.692334674249,2.43753411485457,0.0151523645219574
"line5",18.3947840315917,14.5453527979527,427.826708391114,1.26465024857842,0.206685198069888
"line6",6.01262480394317,32.7720531366431,541.844101862779,0.183468053675903,0.854499415612954
"line7",23.9166126673693,16.706239156858,469.281405574383,1.4315976470115,0.152924647638864
"line8",7.29143350206242,15.2492101680229,442.14144514794,0.478151551570344,0.632778667643954
"line9",43.9938078736648,16.3483031995037,432.928038459255,2.69103205004177,0.00739892627999575
"line10",12.7757738851731,20.2752548807802,446.878284108346,0.630116561310597,0.528940382679981
"line11",11.0515525158633,15.3412821828706,439.39241421584,0.720379977639873,0.471674121485754
"line12",10.8600614246879,28.0270013657366,574.427225470595,0.387485670799033,0.698540221093373
"line13",36.1539836143524,15.6345932667169,412.363720193372,2.31243518763724,0.0212453762939507
"line14",25.0337373408287,14.6150277696196,442.021256001962,1.71287648134795,0.0874365101918155
"line15",52.7090255088204,14.9486062338833,418.577316246138,3.52601605020188,0.00046847759445127
"line16",28.3767684762503,15.3711233760343,406.405160528791,1.84610895261524,0.0656033984749979
"line17",39.3366597387835,15.0796767165698,424.773171668164,2.60858773554209,0.00941231246653068
"line18",26.4806253233018,16.3054167670091,499.589505688878,1.62403854508523,0.10499830951375
"line19",26.378066386067,15.9707682849305,412.184921660425,1.65164667819748,0.099368180040921
"line20",25.0296165909124,13.9083695284417,438.887100187965,1.79960825312618,0.0726092125976372
"line21",18.6078313813818,14.287306525804,437.443092409193,1.30240303501395,0.193463924199664
"sex2",1.03222234724717,6.5530193999173,70523.1278208097,0.157518585594328,0.874836612506276
"density",0.130463553032042,0.0550616405072463,402.323696987862,2.3694091173123,0.0182877402055869
"trial2:line2",-12.159143835819,20.3260117674321,492.664055083614,-0.59820608070794,0.549977335024614
