"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",231.290832184035,6.68974478574654,27.8098097743914,34.5739396033214,2.14206777389528e-24
"line2",13.0751470794529,7.65313268896639,31.7342174138899,1.70846993131368,0.097314444105113
"line9",6.79658735917612,10.7356821211624,98.1423475296685,0.633083886284089,0.528151316322173
"line14",24.9634853526623,9.28136620194808,42.1384237796413,2.68963478107594,0.0102064991103907
"line19",18.6164227863185,8.62384629509691,25.6978545372372,2.15871458619373,0.0403956601739533
"sex2",-5.46799909694063,4.17787256532857,4122.46957519954,-1.30879987635779,0.190675102558161
"density",0.0900007377203128,0.0378911201413035,26.0862657843846,2.37524616281287,0.0251700318893892
"line2:sex2",-4.70679741532621,5.0759276613598,4128.16228160543,-0.927278268986459,0.353836283285781
"line9:sex2",1.99760223961756,13.4788569975318,3300.45991831483,0.148202643590874,0.882191898960474
"line14:sex2",-16.2213884402712,8.29341312323674,4141.99996628653,-1.9559363797785,0.0505397743078377
"line19:sex2",-0.914567316030869,5.00328702194731,4121.59534468157,-0.182793294092273,0.8549692009203
"line2:density",-0.0376895082528829,0.0410650063982189,26.8910669196042,-0.917801105091697,0.366881969465399
"line9:density",0.150370188294095,0.650733837365151,185.013420221702,0.231077868799554,0.817509651683391
"line14:density",0.0417614141902878,0.151812888269839,54.1179591207973,0.27508477485824,0.784298641584797
"line19:density",-0.0186958754181163,0.0487456567328277,24.147760473039,-0.383539307318955,0.704675989913285
"sex2:density",-0.00951699730228187,0.0221457831599352,4121.87678534704,-0.429743090752348,0.667404997753545
"line2:sex2:density",0.0223817982269602,0.0240936888592354,4124.26443905115,0.928948587230597,0.352970095602828
"line9:sex2:density",0.0508121259055381,0.944848678708713,2586.40781343601,0.053778056794217,0.957116145657014
"line14:sex2:density",0.1948295195791,0.151702275504747,4141.99578730533,1.28428870912357,0.199112783411373
"line19:sex2:density",0.00786451194270931,0.0259864326639949,4120.75710899207,0.302639151914294,0.762180149042541
