"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",302.708209184276,1.98570441539376,156.341626309491,152.44374078921,6.02156724769894e-172
"line2",-0.462932116402533,2.91684916208497,181.598396397344,-0.15870965232622,0.874073992748096
"line3",26.6058481133604,2.82052464458258,159.062260084135,9.43294296841642,4.70032009289341e-17
"line4",18.3552082464543,3.61983750066441,191.394675409453,5.07072713708425,9.3211367809364e-07
"line5",-6.21706739501119,2.86427058243231,168.513712703463,-2.17055868713763,0.0313639126300168
"line6",10.6504739186307,3.72340547752853,214.402363945405,2.86041205635766,0.00464926558477994
"line7",2.88209064392352,2.93045556570376,184.922597390924,0.983495766888167,0.32664850336377
"line8",-10.1222260591822,2.90686509749113,178.843509523837,-3.48217950255708,0.000625126543611153
"line9",9.25399417488737,2.85323507378993,166.402241116179,3.24333394745332,0.00142770630907602
"line10",-5.17658583444448,2.87462552093474,171.599631180575,-1.80078615344694,0.0734926268305426
"line11",-4.23982580502706,3.09876274683987,169.661038732306,-1.36823182392742,0.173048770450386
"line12",26.0841007107227,3.79674129814855,230.919474813908,6.8701285292844,5.89738508264188e-11
"line13",21.4820982988653,2.79930720251256,154.230836816232,7.67407674283969,1.77005266454979e-12
"line14",-0.537807028374698,2.88629066581487,173.287209536699,-0.186331555149475,0.852402714849565
"line15",11.2117277488407,2.82182916430364,159.122520742694,3.97321279780857,0.00010724295927076
"line16",2.08802588316328,2.76142686001567,146.11157022261,0.756140209033613,0.45078251947139
"line17",3.6204035703727,2.85720937153776,167.22655188474,1.26711175122045,0.206877125614709
"line18",8.62749570846094,3.09795050891556,230.113411868674,2.78490430484023,0.0058002107410712
"line19",13.6426209199044,2.82351729988051,159.640754237688,4.8317823023368,3.15196714354513e-06
"line20",-0.395720896246279,3.01988394054505,206.900277728355,-0.131038445197618,0.895872220387677
"line21",1.75530539042925,2.88569353411989,173.177679982389,0.608278519418245,0.543799720129586
"sex2",-7.16212807963611,1.32020240068355,26779.7950428003,-5.4250227661515,5.84489373986469e-08
"line2:sex2",3.38422593862446,2.12585918049352,26780.8667930679,1.59193326146787,0.111411503367989
"line3:sex2",-4.79368113807985,1.88027313267892,26777.8806615875,-2.54945999853226,0.0107945125801689
"line4:sex2",6.84331582045183,3.2145464449195,26818.7074028725,2.12885890364642,0.0332750216673178
"line5:sex2",1.11259817005069,2.04870882885925,26806.6537540867,0.54307286344356,0.587084151130883
"line6:sex2",5.43368269447013,3.45505953473676,26798.2095311941,1.57267411453856,0.115806102046235
"line7:sex2",1.93987836660921,2.14856579949852,26785.4584426091,0.902871286074636,0.366602330771424
"line8:sex2",11.8008705857328,2.15793927533857,26792.4412101536,5.46858325468002,4.57697529028498e-08
"line9:sex2",-4.57024506702503,1.99135027923003,26774.4773400685,-2.29504829697373,0.0217380529299357
"line10:sex2",3.01071244681444,2.03241836680714,26803.1097671779,1.48134483332,0.138526462430161
"line11:sex2",0.704306461546041,2.21059372631757,26763.4776414984,0.318605111903255,0.750028462765795
"line12:sex2",4.2803333235288,3.1830434911985,26857.6008775747,1.34472976425375,0.178723874900882
"line13:sex2",8.94064396504862,1.86137631592454,26769.8258037027,4.80324364748772,1.56959751690108e-06
"line14:sex2",9.78316749455514,2.07776402186024,26800.7508575718,4.70850750692863,2.50785217548963e-06
"line15:sex2",3.38737816542931,1.87748475674273,26794.9916416793,1.80421074166594,0.0712095008914475
"line16:sex2",5.29858313012825,1.70555915619123,26775.2728748506,3.10665456011552,0.0018941515955145
"line17:sex2",-3.11927469871186,2.00261668918128,26795.3847127295,-1.55759947251169,0.119340033847001
"line18:sex2",-4.16455134106085,2.61012025736066,26797.2313493104,-1.59554002514506,0.110603319346372
"line19:sex2",6.80890315409352,1.88674572170158,26794.9285332756,3.60880805281639,0.000308167227622385
"line20:sex2",9.22314600411114,2.31914870500747,26824.0481525639,3.97695326056353,6.9986941554626e-05
"line21:sex2",2.46558133616534,2.00657799667592,26815.6637046325,1.22874931363237,0.219176593721522
