"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",304.47486327874,6.34210587236495,114.158553083554,48.0084800547806,1.54324060659631e-77
"line2",10.2358354888527,11.0083350495705,118.423258536554,0.929825940322561,0.354352737434454
"line4",44.4122010940478,33.5159319999507,160.8246356708,1.32510714886619,0.18701515784465
"line5",-6.6010681295201,9.14349206820245,121.52738334523,-0.721941691454633,0.471717148872492
"line6",2.745157888956,8.76819694049044,188.717735085023,0.31308123067802,0.754564678938318
"line7",11.6341410356397,9.08891387087665,141.105717222428,1.28003644890053,0.202632716756207
"line8",14.8888662098582,10.4408300579894,116.462452453761,1.42602323064009,0.156536634324792
"line9",15.7134066970746,11.8063196899897,106.431961793208,1.33093183224555,0.186055604129848
"line10",-3.64132900509569,8.32818879249878,112.768025863732,-0.437229401952973,0.662781160774931
"line11",-4.47450149977395,10.258324865616,117.869135177948,-0.436182472127752,0.663502211406476
"line12",59.1513290263464,14.4921875685012,155.82622521643,4.08160112106967,7.12470632476981e-05
"line13",2.72888369148971,8.26836232098953,114.245182587148,0.330039200696653,0.74197475632216
"line14",10.2881992167075,8.59906493088985,136.464838261621,1.19643232135042,0.233602424085966
"line15",2.43622272312668,9.33761064776467,129.423489313069,0.260904295009333,0.794581000574163
"line16",5.72642203278836,11.6820080930472,109.850011477827,0.490191582404105,0.624975977428762
"line17",15.3480051511842,10.4612320764469,155.860343382152,1.46713169529426,0.144355157767603
"line18",19.8041130593241,9.78961492959143,129.553049245433,2.02297160835831,0.0451339523125885
"line19",17.982321047759,9.18796449184353,109.440375717595,1.95716048573354,0.0528753341055177
"line20",-3.07451062896335,8.26646685717105,124.860645513117,-0.371925597971309,0.710578695255282
"line21",1.69660545693099,9.79232179131292,127.401312476664,0.173258752427448,0.862723016064517
"sex2",-11.0937680658466,3.23982492752475,15358.8177752685,-3.42418751445385,0.000618251311965679
"density",0.0142010876545736,0.037923301004168,108.740183299191,0.374468658543537,0.708784929972641
"line2:sex2",8.39981991282546,5.99500741070262,15346.7796066843,1.40113586812748,0.161193668181498
"line4:sex2",15.4112211593985,27.8509273958853,15349.8136364321,0.553346785919788,0.580034029076964
"line5:sex2",3.50715358195488,5.25289153249952,15372.4109386415,0.667661527038243,0.504359696453418
"line6:sex2",15.9112235233929,6.94280343261684,15391.6665910914,2.2917577427935,0.0219330645739525
"line7:sex2",6.79782004863203,5.93130373678087,15403.1926585355,1.14609204827562,0.25177487180849
"line8:sex2",11.8470562027892,5.64866958029117,15353.7510782478,2.09731796742456,0.0359817479188589
"line9:sex2",-1.52951363401653,5.36560083766177,15347.3892686449,-0.285059153726214,0.775602669343557
"line10:sex2",8.56932947463333,4.13729254696359,15353.5585071217,2.07124088455443,0.0383529557705402
"line11:sex2",6.69640410165773,5.58877431161802,15344.9925169583,1.19818831970673,0.230862216919868
"line12:sex2",-3.86062342404313,10.1819798372143,15386.9570527538,-0.379162352093145,0.704572538581796
"line13:sex2",12.5048886652911,4.28796477742503,15355.1383210976,2.91627597575567,0.00354749623210095
"line14:sex2",8.63592340343804,5.85237161414482,15431.8463311183,1.4756279971295,0.140064187395701
"line15:sex2",12.4992786903784,5.57306880324889,15358.9514148166,2.24279999613351,0.0249239179995952
"line16:sex2",3.0095461110732,5.68623062215432,15342.8498036103,0.529269090730791,0.596626451418048
"line17:sex2",-0.00816166346337653,6.81445767336633,15435.8249360189,-0.00119769816683661,0.999044390829922
"line18:sex2",-12.1416588580409,6.02783372854751,15370.8375211802,-2.01426572211816,0.0439990289917966
"line19:sex2",8.12107930762239,4.37617516833995,15350.0481839453,1.85574822652792,0.0635086062887056
"line20:sex2",8.57785821547883,4.87302043494989,15397.205996344,1.76027544517511,0.078380967506107
"line21:sex2",4.9338500070604,5.4873301125156,15356.9525926498,0.899134899102787,0.368594908743159
"line2:density",-0.0151680458953258,0.084899909207175,115.669582660718,-0.178657975455691,0.858518813842202
"line4:density",-0.600683897567509,0.922348924521506,160.263914475486,-0.651254510736412,0.515814938773219
"line5:density",0.06246453824774,0.0789779853533739,116.882107668716,0.790910757830208,0.430598005873381
"line6:density",0.155887460155823,0.156573046779553,245.317592503839,0.995621298570662,0.320415212386618
"line7:density",0.0116619697342015,0.0806964332570148,145.1890973669,0.144516545075277,0.885293004012528
"line8:density",-0.0892694360070656,0.0895547057223884,112.30511370043,-0.996814575928515,0.320997453093207
"line9:density",-0.0102780663300346,0.0679706902337446,103.955405411988,-0.151213211086857,0.880100577330578
"line10:density",0.0175453206852641,0.0464678975608962,107.32911812774,0.377579395802681,0.706488699440595
"line11:density",0.00695687445412096,0.0671429254359361,113.814199823534,0.103612918396873,0.917658890566543
