,Sum.Sq,Mean.Sq,NumDF,DenDF,F.value,Pr..F.
line,54278.6053,3192.859135,17,99.17079335,15.83355042,3.79E-21
sex,24129.4095,24129.4095,1,9471.761708,119.6589658,1.10E-27
line:sex,8314.305195,489.0767762,17,9424.603513,2.425356543,0.000881547
,,,,,,
REML criterion at convergence: 77882.2,,,,,,
,,,,,,
Scaled residuals: ,,,,,,
    Min      1Q  Median      3Q     Max ,,,,,,
-3.1114 -0.7020 -0.0358  0.5231  4.8828 ,,,,,,
,,,,,,
Random effects:,,,,,,
 Groups   Name        Variance Std.Dev.,,,,,,
 vial     (Intercept)  34.69    5.89   ,,,,,,
 Residual             201.65   14.20   ,,,,,,
"Number of obs: 9543, groups:  vial, 119",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
                                                     npar   AIC   BIC logLik deviance  Chisq Df Pr(>Chisq)    ,,,,,,
"get(paste0(""time.nodensitymodel.norandom.trial"", i))   37 78963 79228 -39445    78889                         ",,,,,,
"get(paste0(""time.nodensitymodel.trial"", i))            38 78066 78338 -38995    77990 899.57  1  < 2.2e-16 ***",,,,,,
