"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",282.082267483287,2.32828244620254,129.509287141764,121.154659712084,3.70841595576799e-135
"line2",8.83346162798125,3.05647673988525,123.558772553784,2.89007978130823,0.00455063127490212
"line4",-1.24983731099743,5.51376593394699,352.800534868317,-0.226675801252728,0.820807125203406
"line7",3.54367415127847,3.040072757461,122.961143657265,1.16565438856077,0.246010345462195
"line8",7.20757826095265,3.05276016510551,125.734217318043,2.36100377073138,0.0197626664581965
"line9",16.7998304119059,3.01906044993829,120.222892272465,5.56458894761424,1.62065212604537e-07
"line10",10.9878684518933,2.9992860629597,117.336509852086,3.6634946521408,0.000374762000216449
"line12",2.24984732472423,3.46807156757591,178.9470662319,0.64873151573882,0.517343588952991
"line13",17.5645635536293,3.49185350592377,187.324497286686,5.03015476560854,1.14302060293769e-06
"line14",14.2762047213338,3.01545124082957,119.362241006484,4.73435104107547,6.10133785259293e-06
"line15",9.65675352321642,2.99633373353929,116.519493940711,3.22285645791858,0.0016462015478472
"line16",5.4132475113397,3.06994350958556,128.535043849639,1.76330525120004,0.0802253186311315
"line17",7.41504096444619,3.06031485776898,127.027206255058,2.42296669103253,0.0168044406769815
"line18",9.82168193174931,3.20568804986331,151.33747298298,3.0638295988183,0.00258767760348062
"line19",11.0358523442565,3.45046910188896,129.161173805913,3.19836289454523,0.00173864241099865
"line20",0.509443166522505,3.04641052311267,124.393370111705,0.167227352537498,0.867462711072972
"line21",7.16387310836414,4.73447354140783,294.450803397732,1.51312982229359,0.131319255862486
"sex2",-0.251580995339814,1.48972087690063,8724.56622387155,-0.168877941660608,0.865896564896969
"line2:sex2",-5.12200255894818,2.01831867114414,8733.2988705702,-2.53775711049863,0.0111737728137027
"line4:sex2",11.8027462972431,6.33633878562359,8803.70983255251,1.8627075818645,0.0625367009095114
"line7:sex2",-2.76246832891302,1.94512163966348,8735.23742569364,-1.42020338090061,0.155584168744298
"line8:sex2",1.20125612467982,2.05409669193829,8724.07189382525,0.584809921263388,0.558690656175583
"line9:sex2",-2.87345938459922,1.95378849526663,8725.16138099072,-1.47071159010335,0.141405191128054
"line10:sex2",-2.72181309191032,1.91052397425996,8721.60775327111,-1.42464220736335,0.154296432807298
"line12:sex2",-1.49553801896934,2.88269181008216,8767.44593130323,-0.518799135495069,0.603913914676403
"line13:sex2",-4.00104287534073,2.94212146837683,8778.85876099567,-1.35991763710154,0.17389091153479
"line14:sex2",-4.25487448163927,1.91933307258757,8723.29745817542,-2.21685050000364,0.026658998458633
"line15:sex2",-3.44437499459329,1.87085348405285,8721.95992032728,-1.84107148098615,0.0656450260125996
"line16:sex2",-3.63308218791284,2.0847045280644,8724.6392616014,-1.74273242994587,0.0814155958092972
"line17:sex2",-3.22964121874124,2.06054320102553,8727.62859212941,-1.56737369890321,0.117063621285926
"line18:sex2",-4.20651747397194,2.42604871784779,8752.79614709989,-1.73389653844365,0.0829716532861294
"line19:sex2",-2.77449262514869,2.29786877235307,8743.82237212962,-1.2074199617185,0.227303111389491
"line20:sex2",-0.0971501631946793,2.0056846730047,8730.89909446229,-0.0484374061896476,0.961368756358475
"line21:sex2",2.05634748562702,4.35803678259941,8768.85869668507,0.47185179662492,0.637044317146425
